Library,Version,PyVer,Direct/Indirect,Dependency,Root Cause,Resource,Stage,note
django-markup,1.5,2.7,Indirect,django>=2.2 (from django-markup==1.5),NoAvlResource,whl,install,
django-debug-toolbar-request-history,0.1.3,2.7,Indirect,django-debug-toolbar>=2.0 (from django-debug-toolbar-request-history==0.1.3),NoAvlResource,whl,install,
djangocms-link,3.0.0,2.7,Indirect,Django>=2.2 (from django-cms>=3.7->djangocms-link==3.0.0),NoAvlResource,gz,install,
django-cms,3.9.0,2.7,Indirect,Django>=2.2 (from django-cms==3.9.0),NoAvlResource,whl,install,
django-celery-email,3.0.0,2.7,Indirect,django>=2.2 ,NoAvlResource,whl,install,
django-categories,1.8,2.7,Indirect,django-mptt==0.11.0 (from django-categories==1.8),NoAvlResource,whl,install,
dimod,0.10.6,310,Indirect,numpy,UnsupportedFeatures,gz,install,C
dedupe,2.0.6,2.7,Indirect,oldest_supported_numpy,NoAvlResource,gz,install,
datashader,0.13.0,2.7,Indirect,numba>=0.51 (from datashader==0.13.0),NoAvlResource,whl,install,
dataflows,0.3.2,2.7,Indirect,regex_3,UnsupportedFeatures,whl,install,C
datadog-checks-dev,15.1.0,3.5,Indirect,PyYAML==5.4.1 (from datadog-checks-dev==15.1.0),NoAvlResource,whl,install,
dask-ml,2021.10.17,3.6,Indirect,scikit-learn>=1.0.0,NoAvlResource,whl,install,
dask-jobqueue,0.7.2,3.5,Indirect,dask>=2.19 (from dask-jobqueue==0.7.2),NoAvlResource,whl,install,
pynwb,2.5.1,2.7,Indirect,"pandas<2, >=1.0.5",NoAvlResource,whl,install,
credstash,1.17.1,2.7,Indirect,pytest>=5.4.1,NoAvlResource,gz,install,
contractions,0.0.43,2.7,Indirect,anyascii (from textsearch->contractions==0.0.43),NoAvlResource,whl,install,
chartify,3.0.3,3.5,Indirect,"bokeh<3.0.0,>=2.0.0 (from chartify==3.0.3)",NoAvlResource,whl,install,
bypy,1.7.2,3.5,Indirect,multiprocess,LocalCompCheck,whl,install,
pyldavis,3.3.0,2.7,Direct,pandas>=1.2.0,NoAvlResource,gz,install,
asyncpgsa,0.27.0,2.7,Indirect,asyncpg<=0.22.0,LocalCompCheck,gz,install,
